
  No    Ref    V       B-V     U-B

 0001   410  12.360   0.470  -0.370
 0002   410  13.330   1.600   1.280
 0003   410  15.400   1.030   0.800
 0004   410  15.990   1.070   0.690
 0005   410  16.030   1.060   0.590
 0006   410  15.930   0.870   0.350
 0007   410  14.310   0.810   0.010
 0008   410  14.290   0.870   0.400
 0009   410  15.580   0.850   0.370
 0010   410  15.610   0.600   0.290
 0011   410  10.990   0.300   0.300
 0012   410  13.830   0.600  -0.130
 0013   410  16.200   0.810   0.660
 0014   410  15.830   0.860   0.470
 0015   410  15.580   1.060   0.660
 0016   410  12.940   0.560   0.290
 0017   410  12.130   0.510   0.170
 0018   410  14.160   0.670   0.430
 0019   410  14.860   0.640   0.550
 0020   410  12.760   0.760   0.290
 0021   410  16.320   0.790   0.690
 0022   410  16.600   0.780   0.650
 0023   410  10.660   0.460  -0.390
 0024   410  14.120   0.570   0.180
 0025   410  13.820   0.550  -0.020
 0026   410  13.950   0.610   0.120
 0027   410  13.450   0.700   0.270
 0028   410  14.100   0.810   0.360
 0029   410  14.830   0.910   0.520
 0030   410  12.440   0.500  -0.300
 0031   410  11.220   0.670  -0.230
 0032   410  12.840   0.790   0.450
 0033   410  15.710   0.980   0.470
 0034   410  15.770   1.370   1.150
 0035   410  15.130   0.790   0.220
 0036   410  12.700   0.670   0.120
 0037   410  16.450   1.060   0.630
 0038   410  15.260   0.700   0.200
 0039   410  16.120   1.020   0.490
 0040   410  15.680   0.890   0.590
 0041   410  16.160   1.090   0.560
 0042   410  12.820   0.860  -0.040
 0043   410  12.200   0.730   0.380
 0044   410  12.580   1.390   1.310
 0045   410  13.430   1.000   0.770
 0046   410  13.310   0.760   0.320
 0051   410  15.700   1.020   0.680
 0052   410  15.780   0.840   0.690
 0053   410  15.860   0.950   0.400
 0054   410  15.790   0.990   0.570
 0055   410  14.750   0.840   0.420
 0056   410  15.060   0.940   0.600
 0057   410  15.970   0.880   0.280
 0058   410  14.860   0.790   0.360
 0059   410  16.170   1.070   0.690
 0060   410  16.420   0.790   0.630
 0061   410  10.640   0.590         
 0063   410  11.910   0.590  -0.210
 0064   410  13.760   0.750   0.220
 0065   410  13.800   0.730   0.070
 0066   410  16.960   1.030   0.700
 0067   410  10.500   0.610  -0.390
 1009   410  16.170   1.210   1.070
 1010   410  16.300   1.550   1.240
 1017   410  16.370   0.790   0.560
 1018   410  16.190   0.770   0.670
